"","studyid","region","RR","RR.CI1","RR.CI2","est","se","N","sparseN","W","pooled","Nstudies","method","X","Y","adj","agecat","sex","analysis","df","logHR.psi","logSE","HR.CI1","HR.CI2","severe"
"2657","JiVitA-3","South Asia",2.86067660625183,2.33417958070227,3.50593018344131,1.05105817246469,0.0959212184009124,83698,221,NA,0,NA,NA,"stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2658","JiVitA-4","South Asia",2.71681923969757,1.52814669188327,4.83010356295999,0.999461798859511,0.286604290073464,32243,24,NA,0,NA,NA,"stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2659","Keneba","Africa",3.12196938352017,1.88734881046036,5.16422442826553,1.13846401535719,0.25662912003311,37850,25,NA,0,NA,NA,"stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2660","VITAMIN-A","South Asia",3.3859003417961,1.91081261906725,5.9997097623163,1.21961985084901,0.290094168379847,22127,23,NA,0,NA,NA,"stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2661","ZVITAMBO","Africa",4.87585941662846,4.04898084198482,5.87160225709302,1.5842963795029,0.0925370826523899,58136,175,NA,0,NA,NA,"stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2662","pooled",NA,3.26511746010804,2.52095663155509,4.22894701751612,1.18329573761208,0.131968006340865,NA,NA,NA,1,6,"RE","stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2663","pooled",NA,3.58734849677534,3.18735247779863,4.03754191823943,1.27741334932998,0.0603177149956069,NA,NA,NA,1,6,"FE","stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2664","pooled","Africa",3.45249525226934,2.15201790955522,5.53885886080101,1.23909723114304,0.241169013568424,NA,NA,NA,1,3,"RE","stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2665","pooled","South Asia",2.89045973928805,2.43829017958439,3.42648203827373,1.06141556881099,0.086795163885275,NA,NA,NA,1,3,"RE","stunt_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2666","Burkina Faso Zn","Africa",3.24534191326051,1.69207534426872,6.22445340252694,1.1772207107874,0.340163677790332,15155,13,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2667","iLiNS-DOSE","Africa",1.08903887589879e-07,7.02305461990075e-08,1.68873195127687e-07,-16.0328001089314,4180.45870961685,12463,0,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2668","iLiNS-DYAD-M","Africa",13.967432212673,3.90683721712362,49.9353189737578,2.63672834912106,0.641564388487535,6437,3,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2669","JiVitA-3","South Asia",1.73711387581086,1.31898448904556,2.28779386156254,0.552225044010975,0.116020634079647,83365,99,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2670","JiVitA-4","South Asia",2.05862941888269,1.08189613999277,3.91715519413686,0.722040430731367,0.323934763661852,32099,13,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2671","Keneba","Africa",2.80145910360511,1.55616952848786,5.04326358118453,1.03014038988171,0.305594901595322,37841,14,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2672","VITAMIN-A","South Asia",7.10050312750285,3.96943389448308,12.7013438197699,1.96016564456517,0.294507953501967,22122,23,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2673","ZVITAMBO","Africa",3.22148021655977,2.57011118093384,4.03793223525653,1.16984094851291,0.113056868653446,52118,101,NA,0,NA,NA,"wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2674","pooled",NA,2.93544768965868,1.98098419397988,4.34978389272802,1.07685997645486,0.200646014070925,NA,NA,NA,1,6,"RE","wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2675","pooled",NA,2.58497006578489,2.24477732844144,2.97671851739671,0.949713927926185,0.0719936720411471,NA,NA,NA,1,6,"FE","wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2676","pooled","Africa",3.17454828351853,2.60323786624059,3.87123932664056,1.15516534931535,0.10122925811359,NA,NA,NA,1,3,"RE","wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2677","pooled","South Asia",2.88114637558894,1.21318591699954,6.84231849484319,1.05818826202762,0.441295088472877,NA,NA,NA,1,3,"RE","wast_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2678","Burkina Faso Zn","Africa",2.73393707981827,1.31505576170726,5.68372245044701,1.00574272407141,0.387831749761325,15155,9,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2679","iLiNS-DOSE","Africa",1.06094272820419e-07,5.13140089526653e-08,2.19355200558908e-07,-16.0589377718558,5590.82641131827,5113,0,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2680","iLiNS-DYAD-M","Africa",13.3375709145597,2.47545975346555,71.861720899267,2.59058493354418,0.817842982953945,3088,2,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2681","JiVitA-3","South Asia",2.36302278484253,1.70245191021694,3.27990273803,0.859941640495368,0.129587837826677,82880,74,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2682","JiVitA-4","South Asia",2.4088021762907,1.18015358201307,4.91658713995969,0.879129601660027,0.356393426152809,32096,10,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2683","Keneba","Africa",4.12038109585061,2.18175714495783,7.78159036365672,1.41594565807653,0.334524909363706,37837,11,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2684","VITAMIN-A","South Asia",7.4191183435968,3.96851339655719,13.8700091182876,2.00406022850176,0.32186771855948,13883,18,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2685","ZVITAMBO","Africa",7.82640798825163,6.08926945269364,10.0591150505703,2.05750365484078,0.126138277151107,57445,77,NA,0,NA,NA,"co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2686","pooled",NA,4.01497485404457,2.50846279837526,6.42625558930005,1.39003108437652,0.239980076413999,NA,NA,NA,1,6,"RE","co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2687","pooled",NA,4.28070451106362,3.6581015644619,5.00927346825483,1.45411760143642,0.0801904524632993,NA,NA,NA,1,6,"FE","co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2688","pooled","Africa",4.83029113770414,2.56621574732576,9.09187487423728,1.57490674280528,0.322691020871369,NA,NA,NA,1,3,"RE","co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2689","pooled","South Asia",3.39882670839792,1.64840937017793,7.00798187799195,1.223430286301,0.369193612972841,NA,NA,NA,1,3,"RE","co","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2690","Burkina Faso Zn","Africa",1.20282843356322,0.668242664680223,2.16507612736833,0.184675811330066,0.30700486249143,7167,20,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2691","iLiNS-DOSE","Africa",0.751469144710418,0.411977637622365,1.37071972816505,-0.285725128901592,0.307135696875067,1922,19,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2692","iLiNS-DYAD-M","Africa",0.859899370839486,0.408116737941514,1.81180250459639,-0.150939907232625,0.385562023833573,1174,13,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2693","JiVitA-3","South Asia",1.54107539084098,1.2790167947079,1.85682734588177,0.432480478464427,0.0994093865557782,26739,149,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2694","JiVitA-4","South Asia",1.47129188107796,0.802607075588277,2.69708536738139,0.386140845510356,0.310048032465375,5444,15,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2695","Keneba","Africa",1.07301339869096,0.665443494480055,1.73021114988876,0.0704709507010391,0.250213026678474,2907,27,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2696","VITAMIN-A","South Asia",0.894528088020416,0.596524718319992,1.34140376028512,-0.111458975720974,0.207480006094687,3938,42,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2697","ZVITAMBO","Africa",1.50716502322698,1.30701084464169,1.73797058880679,0.410230418113004,0.0732388129803817,12795,321,NA,0,NA,NA,"ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2698","pooled",NA,1.22199068615113,0.995290936739463,1.50032636882234,0.200481238912771,0.1046946044609,NA,NA,NA,1,8,"RE","ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2699","pooled",NA,1.39175641831717,1.2560836782164,1.54208351045329,0.330566559759129,0.0523305465043674,NA,NA,NA,1,8,"FE","ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2700","pooled","Africa",1.15318721346638,0.862192552105648,1.54239415088267,0.14252959884896,0.148370537652963,NA,NA,NA,1,5,"RE","ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2701","pooled","South Asia",1.28193595459674,0.893502512789923,1.83923354233951,0.248371399837727,0.18417221016555,NA,NA,NA,1,3,"RE","ever_stunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2702","Burkina Faso Zn","Africa",2.80592763709027,1.53016324796254,5.14535289948338,1.03173419271276,0.31330188859879,7167,18,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2703","iLiNS-DOSE","Africa",1.3340270780025,0.570379532475555,3.12007732311144,0.28820224564012,0.440135574530009,1922,6,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2704","iLiNS-DYAD-M","Africa",2.45116530434605,0.991806998252878,6.0578432697225,0.896563545905396,0.463177471551883,1174,7,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2705","JiVitA-3","South Asia",1.01562058992752,0.833980480626757,1.23682173221793,0.0154998443013272,0.0983064422920192,26739,157,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2706","JiVitA-4","South Asia",1.26467120222969,0.715396966642524,2.2356723949436,0.234812169208619,0.290665174551715,5444,20,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2707","Keneba","Africa",1.03347039575334,0.646183887221222,1.65287479310501,0.0329224550785643,0.243271304966452,2907,34,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2708","VITAMIN-A","South Asia",1.5333878525865,1.02245896903687,2.29963096580266,0.427479570229515,0.207466391569883,3938,42,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2709","ZVITAMBO","Africa",1.65218537726993,1.43130466435076,1.90715267605361,0.502098882647064,0.0734841917604023,12795,307,NA,0,NA,NA,"ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2710","pooled",NA,1.43925194809906,1.13145475606966,1.83078126544143,0.36412349812441,0.122764948280776,NA,NA,NA,1,8,"RE","ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2711","pooled",NA,1.41046561805407,1.2721527794756,1.56381630556412,0.34391987544788,0.0526578102509713,NA,NA,NA,1,8,"FE","ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2712","pooled","Africa",1.6571653745213,1.18350100415952,2.3204011393827,0.505108537037888,0.171750785000173,NA,NA,NA,1,5,"RE","ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2713","pooled","South Asia",1.1892733576338,0.897062575556304,1.57666940714863,0.173342496779636,0.143863344491746,NA,NA,NA,1,3,"RE","ever_wast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2714","Burkina Faso Zn","Africa",2.53239704475496,1.3841123334801,4.63331959202997,0.929166302713121,0.315686468028268,7167,17,NA,0,NA,NA,"ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2715","iLiNS-DOSE","Africa",1.34892101646797,0.535757630938972,3.39628929872629,0.299305025821356,0.475742634627425,1922,5,NA,0,NA,NA,"ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2716","iLiNS-DYAD-M","Africa",3.18442168408119,1.21661160726731,8.33506881035243,1.15827069768065,0.496682434754452,1174,5,NA,0,NA,NA,"ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2717","JiVitA-3","South Asia",1.07874128030961,0.86479249529675,1.34562077743829,0.0757948802399433,0.108524929562986,26739,114,NA,0,NA,NA,"ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2718","JiVitA-4","South Asia",2.11882770933247,1.19914999413255,3.74384429287571,0.750862968445119,0.290667937379571,5444,20,NA,0,NA,NA,"ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2719","Keneba","Africa",0.976759076515074,0.593657178010735,1.60708625936521,-0.0235152525228699,0.261218521872268,2907,27,NA,0,NA,NA,"ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2720","pooled",NA,1.5689951690602,1.06389259118788,2.31390448709261,0.450435394753291,0.198214774010782,NA,NA,NA,1,8,"RE","ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2721","pooled",NA,1.2628831942404,1.06335655429231,1.49984871570784,0.233397356304858,0.0877382094501061,NA,NA,NA,1,8,"FE","ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2722","pooled","Africa",1.71625735526217,0.973834118618421,3.02468280087612,0.540145963749807,0.28911237909203,NA,NA,NA,1,5,"RE","ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2723","pooled","South Asia",1.43257705258574,0.745562084291985,2.75265743099607,0.359474957050758,0.333210115595527,NA,NA,NA,1,3,"RE","ever_wast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2724","Burkina Faso Zn","Africa",2.0914507150476,1.14809485825532,3.80993439873096,0.737857947217785,0.308206310890271,7167,21,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2725","iLiNS-DOSE","Africa",2.55854688225082,1.35504181582331,4.8309668913782,0.93943947321114,0.325524139919124,1922,14,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2726","iLiNS-DYAD-M","Africa",1.99770082002953,0.929128813870789,4.29521558988228,0.691996929289288,0.38741237058838,1174,12,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2727","JiVitA-3","South Asia",1.66805740379488,1.3816330772712,2.01385993729272,0.511659718089516,0.101763997957428,26739,137,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2728","JiVitA-4","South Asia",2.15258823817572,1.14253442864297,4.0555768009862,0.766670949824826,0.323577447714164,5444,13,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2729","Keneba","Africa",1.54077069748269,0.936020060404512,2.53624301726542,0.432282744151582,0.252040917488749,2907,27,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2730","VITAMIN-A","South Asia",5.62968098444067,2.73009080054417,11.6088842100987,1.72805277703651,0.369632613860459,3938,8,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2731","ZVITAMBO","Africa",4.29626837419981,3.7085116021897,4.97717788782189,1.45774682597225,0.0752541452536051,12795,281,NA,0,NA,NA,"ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2732","pooled",NA,2.46850144551101,1.76809621607809,3.44636187277538,0.903611264299357,0.170259122809192,NA,NA,NA,1,8,"RE","ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2733","pooled",NA,2.90824895543408,2.61181111978367,3.23833217598214,1.06755116654132,0.0548506480759762,NA,NA,NA,1,8,"FE","ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2734","pooled","Africa",2.47573193775147,1.62672613135724,3.76784297581105,0.906536084725278,0.214268672466456,NA,NA,NA,1,5,"RE","ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2735","pooled","South Asia",2.56154465766617,1.27250040262463,5.15639210776235,0.940610458430649,0.356952383971291,NA,NA,NA,1,3,"RE","ever_uwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2736","Burkina Faso Zn","Africa",2.0914507150476,1.14809485825532,3.80993439873096,0.737857947217785,0.308206310890271,7167,21,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2737","iLiNS-DOSE","Africa",2.55854688225082,1.35504181582331,4.8309668913782,0.93943947321114,0.325524139919124,1922,14,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2738","iLiNS-DYAD-M","Africa",1.99770082002953,0.929128813870789,4.29521558988228,0.691996929289288,0.38741237058838,1174,12,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2739","JiVitA-3","South Asia",1.66805740379488,1.3816330772712,2.01385993729272,0.511659718089516,0.101763997957428,26739,137,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2740","JiVitA-4","South Asia",2.15258823817572,1.14253442864297,4.0555768009862,0.766670949824826,0.323577447714164,5444,13,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2741","Keneba","Africa",1.54077069748269,0.936020060404512,2.53624301726542,0.432282744151582,0.252040917488749,2907,27,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2742","VITAMIN-A","South Asia",5.62968098444067,2.73009080054417,11.6088842100987,1.72805277703651,0.369632613860459,3938,8,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2743","ZVITAMBO","Africa",4.29626837419981,3.7085116021897,4.97717788782189,1.45774682597225,0.0752541452536051,12795,281,NA,0,NA,NA,"ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2744","pooled",NA,2.46850144551101,1.76809621607809,3.44636187277538,0.903611264299357,0.170259122809192,NA,NA,NA,1,8,"RE","ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2745","pooled",NA,2.90824895543408,2.61181111978367,3.23833217598214,1.06755116654132,0.0548506480759762,NA,NA,NA,1,8,"FE","ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2746","pooled","Africa",2.47573193775147,1.62672613135724,3.76784297581105,0.906536084725278,0.214268672466456,NA,NA,NA,1,5,"RE","ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2747","pooled","South Asia",2.56154465766617,1.27250040262463,5.15639210776235,0.940610458430649,0.356952383971291,NA,NA,NA,1,3,"RE","ever_sstunt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2748","Burkina Faso Zn","Africa",2.68077423560064,1.10434023368083,6.50755109981553,0.9861056466818,0.485034490135886,7167,5,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2749","iLiNS-DOSE","Africa",0.985669671376362,0.138435405473379,7.01803630183328,-0.0144339993989376,1.01184214620234,1922,1,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2750","iLiNS-DYAD-M","Africa",4.45215187167118,1.37055165051404,14.4625387018365,1.49338754596515,0.613104996307384,1174,3,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2751","JiVitA-3","South Asia",1.35680980588974,0.996382302893574,1.84761696791717,0.305136213247647,0.13620594140264,26739,64,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2752","JiVitA-4","South Asia",3.049367157867,1.52180979522134,6.11025115798088,1.11493407986652,0.354497208215471,5444,10,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2753","Keneba","Africa",1.52024302986235,0.90840566769493,2.54417046484259,0.418870210144784,0.268321308611592,2907,20,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2754","VITAMIN-A","South Asia",2.97191526297647,1.87467688548115,4.71136140777969,1.08920661466455,0.236544310573848,3938,24,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2755","ZVITAMBO","Africa",1.72335674947569,1.4554779721197,2.04053825812154,0.54427398746341,0.0870992711835596,12795,169,NA,0,NA,NA,"ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2756","pooled",NA,1.92095458680216,1.44220112552495,2.55863517178514,0.652822243112479,0.14625088632144,NA,NA,NA,1,6,"RE","ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2757","pooled",NA,1.73484632055948,1.52438766435113,1.97436113289453,0.550918833429321,0.0659826712134492,NA,NA,NA,1,6,"FE","ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2758","pooled","Africa",1.72492341947552,1.46980014522827,2.02433018714461,0.545182654990912,0.0816613362602546,NA,NA,NA,1,3,"RE","ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2759","pooled","South Asia",2.18895949092863,1.24397864356183,3.85178931947506,0.783426312626518,0.288322186740661,NA,NA,NA,1,3,"RE","ever_swast","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2760","Burkina Faso Zn","Africa",3.59403240192706,1.67650196653898,7.70477408551331,1.27927480388196,0.415157312060133,7167,8,NA,0,NA,NA,"ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2761","iLiNS-DOSE","Africa",4.25650784936821,1.39016375650102,13.0328955757953,1.44844907043007,0.598699869646122,1922,3,NA,0,NA,NA,"ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2762","iLiNS-DYAD-M","Africa",4.19053813170456,1.04040912574655,16.8785619029142,1.43282915807504,0.735467790933815,1174,2,NA,0,NA,NA,"ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2763","JiVitA-3","South Asia",2.42137818151118,1.68198684161664,3.48580152521472,0.88433687455923,0.14510606559557,26739,56,NA,0,NA,NA,"ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2764","JiVitA-4","South Asia",5.52962368612592,2.60177910571532,11.7522421649851,1.71011976369362,0.386661156783526,5444,8,NA,0,NA,NA,"ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2765","Keneba","Africa",3.20726374313304,1.87555800298852,5.48452284686751,1.16541815715896,0.28028335654311,2907,18,NA,0,NA,NA,"ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2766","pooled",NA,3.13582335218438,2.2089929226818,4.4515253965444,1.14289177187878,0.178752577194933,NA,NA,NA,1,6,"RE","ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2767","pooled",NA,2.83209995171748,2.25052904476873,3.56395761928164,1.04101846889422,0.11727201495333,NA,NA,NA,1,6,"FE","ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2768","pooled","Africa",3.32365648520887,2.10804206289154,5.24026186485035,1.20106552785289,0.232298950734428,NA,NA,NA,1,3,"RE","ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2769","pooled","South Asia",3.38533539850243,1.52908996117443,7.4949780924278,1.21945298520833,0.405500113971271,NA,NA,NA,1,3,"RE","ever_swast_muac","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,1
"2770","Burkina Faso Zn","Africa",1.96284019817344,0.980328895568425,3.93005006889204,0.674392505038897,0.365293511245334,7167,11,NA,0,NA,NA,"ever_suwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
"2771","iLiNS-DOSE","Africa",2.24288730791262,1.18973791632786,4.22827868806803,0.8077640125963,0.32545512997333,1922,14,NA,0,NA,NA,"ever_suwt","dead",0,"1-24 months",NA,"Overlap","res_noPN",NA,NA,NA,NA,0
