"","country","brthyr","gdp","imputed_gdp","gdi","imputed_gdi","gii","imputed_gii","chi","imputed_chi","gini","imputed_gini","he","imputed_he","pov","imputed_pov","mort","imputed_mort","nearest_gdp","nearest_gdi","nearest_gii","nearest_chi","nearest_he","nearest_gini","nearest_pov"
"30","PERU",2009,4196.311627,"no",0.9414,"yes",0.4368,"yes",36.7,"yes",47,"no",4.97619247,"no",7.1,"no",20.8,"no",0,1,1,1,0,0,0
"31","PAKISTAN",2012,1198.117637,"no",0.728,"no",0.555,"no",29.5,"no",29.6,"yes",2.35939932,"no",6.45,"yes",82.8,"no",0,0,0,0,0,1,1
"32","PAKISTAN",2013,1208.91771,"no",0.73,"no",0.554,"no",28.7,"no",29.5,"no",2.6028018,"no",5.7,"no",80.6,"no",0,0,0,0,0,0,0
"33","NEPAL",2012,804.1416073,"no",0.887,"no",0.507,"no",33.5,"no",29.6571428571429,"yes",4.49078512,"no",5.02857142857142,"yes",41.5,"no",0,0,0,0,0,2,2
"34","GUATEMALA",1996,1487.607658,"no",0.887,"yes",0.59,"yes",NA,"yes",56.1636363636364,"yes",2.70367148,"yes",18.5666666666667,"yes",61.6,"no",0,4,1,14,4,4,2
"35","GUATEMALA",1997,1649.001602,"no",0.889,"yes",0.59,"yes",NA,"yes",55.6727272727273,"yes",3.37696888,"yes",16.0333333333333,"yes",59,"no",0,3,2,13,3,3,1
"36","GUATEMALA",1998,1755.849582,"no",0.891,"yes",0.59,"yes",NA,"yes",55.1818181818182,"yes",4.05026628,"yes",13.5,"no",56.6,"no",0,2,2,12,2,2,0
"37","MALAWI",2009,438.2118568,"no",0.9086,"yes",0.6126,"yes",31.8,"yes",44.5666666666667,"yes",8.26966286,"no",71.3333333333333,"yes",89.4,"no",0,1,1,1,0,1,1
"38","MALAWI",2010,478.6686885,"no",0.915,"no",0.603,"no",31.6,"no",45.5,"no",7.24138308,"no",71.1,"no",84.2,"no",0,0,0,0,0,0,0
"39","MALAWI",2011,534.9510502,"no",0.92,"no",0.596,"no",31.4,"no",45.3666666666667,"yes",7.49375153,"no",70.7833333333333,"yes",77.6,"no",0,0,0,0,0,1,1
"40","MALAWI",2012,391.5617052,"no",0.912,"no",0.591,"no",31.1,"no",45.2333333333333,"yes",8.47898579,"no",70.4666666666667,"yes",70.7,"no",0,0,0,0,0,2,2
"41","MALAWI",2013,348.4298737,"no",0.917,"no",0.587,"no",31.6,"no",45.1,"yes",11.57910728,"no",70.15,"yes",63.4,"no",0,0,0,0,0,3,3
"42","INDIA",2009,1101.960838,"no",0.7778,"yes",0.5968,"yes",30.3,"yes",35.4,"no",3.48537874,"no",32.8,"no",61.4,"no",0,1,1,1,0,0,0
"43","INDIA",2010,1357.563727,"no",0.782,"no",0.59,"no",28.9,"no",35.55,"yes",3.27211905,"no",27.65,"yes",58.2,"no",0,0,0,0,0,1,1
"44","BANGLADESH",2009,702.2644196,"no",0.8386,"yes",0.6012,"yes",29.8,"yes",32.32,"yes",2.56097794,"no",20.38,"yes",51.8,"no",0,1,1,1,0,1,1
"45","BANGLADESH",2010,781.1535777,"no",0.848,"no",0.592,"no",28.3,"no",32.1,"no",2.68101048,"no",19.2,"no",49.1,"no",0,0,0,0,0,0,0
"46","BANGLADESH",2011,861.7621622,"no",0.838,"no",0.591,"no",26.8,"no",32.15,"yes",2.76118398,"no",18.3833333333333,"yes",46.7,"no",0,0,0,0,0,1,1
"47","BANGLADESH",2008,634.9870697,"no",0.8292,"yes",0.6104,"yes",31.3,"yes",32.54,"yes",2.48848343,"no",21.56,"yes",54.7,"no",0,2,2,2,0,2,2
"48","BANGLADESH",2012,883.1171296,"no",0.845,"no",0.585,"no",26.8,"no",32.2,"yes",2.74823475,"no",17.5666666666667,"yes",44.4,"no",0,0,0,0,0,2,2
"49","GAMBIA",1996,728.6690719,"no",0.7772,"yes",0.7556,"yes",NA,"yes",48.98,"yes",10.36522245,"yes",80.68,"yes",133.2,"no",0,1,1,14,4,2,2
"50","GAMBIA",1999,637.9390629,"no",0.8018,"yes",0.7514,"yes",NA,"yes",48.26,"yes",7.57049799,"yes",65.86,"yes",118.1,"no",0,1,1,11,1,1,1
"51","GAMBIA",2000,594.1493885,"no",0.81,"no",0.75,"no",NA,"yes",48.02,"yes",6.63892317,"no",60.92,"yes",113.4,"no",0,0,0,10,0,2,2
"52","GAMBIA",2001,505.4216361,"no",0.8178,"yes",0.7308,"yes",NA,"yes",47.78,"yes",5.70734835,"no",55.98,"yes",108.7,"no",0,1,1,9,0,2,2
"53","GAMBIA",2002,411.7718939,"no",0.8256,"yes",0.7116,"yes",NA,"yes",47.54,"yes",6.35030413,"no",51.04,"yes",104.2,"no",0,2,2,8,0,1,1
"54","GAMBIA",2003,335.906217,"no",0.8334,"yes",0.6924,"yes",NA,"yes",47.3,"no",5.56995296,"no",46.1,"no",99.8,"no",0,2,2,7,0,0,0
"55","GAMBIA",2004,642.7562183,"no",0.8412,"yes",0.6732,"yes",NA,"yes",46.7714285714286,"yes",5.54182816,"no",43.1428571428571,"yes",95.6,"no",0,1,1,6,0,1,1
"56","GAMBIA",2005,665.7202157,"no",0.849,"no",0.654,"no",40.8,"yes",46.2428571428571,"yes",5.72842979,"no",40.1857142857143,"yes",91.5,"no",0,0,0,5,0,2,2
"57","GAMBIA",2006,662.3628772,"no",0.8434,"yes",0.6548,"yes",40.4,"yes",45.7142857142857,"yes",6.19758415,"no",37.2285714285714,"yes",87.6,"no",0,1,1,4,0,3,3
"58","GAMBIA",2007,780.3810509,"no",0.8378,"yes",0.6556,"yes",40,"yes",45.1857142857143,"yes",5.67628479,"no",34.2714285714286,"yes",83.8,"no",0,2,2,3,0,3,3
"59","GAMBIA",2008,924.5098746,"no",0.8322,"yes",0.6564,"yes",39.6,"yes",44.6571428571429,"yes",5.46723223,"no",31.3142857142857,"yes",80.3,"no",0,2,2,2,0,2,2
"60","GAMBIA",2009,833.2813604,"no",0.8266,"yes",0.6572,"yes",39.2,"yes",44.1285714285714,"yes",5.18213415,"no",28.3571428571429,"yes",76.8,"no",0,1,1,1,0,1,1
"61","GAMBIA",2010,860.6364339,"no",0.821,"no",0.658,"no",38.8,"no",43.6,"no",5.08982468,"no",25.4,"no",73.6,"no",0,0,0,0,0,0,0
"62","GAMBIA",2011,762.7631177,"no",0.818,"no",0.654,"no",38.4,"yes",42.06,"yes",5.49951601,"no",22.38,"yes",70.6,"no",0,0,0,1,0,1,1
