HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
169, Afghanistan,..,,..,,..,,30,,30,,30.4,,28.2,,28.2,,..,,..
69, Albania,12.7,,13.8,,13.8,,13.4,,13.4,,13.4,,12.2,,10,,10.9,,10.9
91, Algeria,..,,..,,..,,..,,..,,..,,..,,20.1,,19.7,,19.7
148, Angola,38.8,,..,,43.6,,43.6,,36.6,,36.6,,32.4,,32.3,,31.7,,31.7
46, Argentina,19,,18.7,,18.7,,15.3,,14.6,,15.2,,14,,13.8,,13.6,,13.2
81, Armenia,10.9,,10.7,,10.8,,10.2,,10.1,,9.2,,8.6,,9.8,,9.7,,9.7
8, Australia,7.7,,7.7,,7.7,,7.5,,7.9,,8,,8.3,,8,,7.9,,7.9
18, Austria,7.3,,7.2,,6.5,,7.1,,7.6,,8.5,,7.4,,7.8,,7.5,,6.9
88, Azerbaijan,13.4,,11.1,,11.1,,11.5,,13,,13,,10.1,,9.9,,9.4,,9.4
58, Bahamas,14,,14.4,,..,,14,,..,,..,,..,,..,,..,,..
133, Bangladesh,28.3,,26.8,,26.8,,28.7,,29,,28.6,,27.6,,23.4,,23.6,,23.7
58, Barbados,..,,..,,..,,..,,..,,..,,..,,15.4,,16,,15.9
53, Belarus,9.3,,8.3,,8.3,,7.6,,7.1,,6.4,,6.5,,6.5,,6.3,,6.3
14, Belgium,8.3,,7.5,,8,,8.5,,7.9,,8.3,,8.8,,8.7,,7.6,,7.7
110, Belize,26.9,,..,,..,,..,,21.7,,21.8,,21.3,,21.3,,21.6,,21.6
158, Benin,34.3,,35.3,,35.3,,34.2,,37.1,,37.1,,36.4,,36.3,,36.9,,36.9
129, Bhutan,..,,..,,19.8,,20.2,,28.9,,28.4,,27.4,,26.4,,26.3,,26.3
107, Bolivia (Plurinational State of),36.7,,33.3,,33.4,,29.4,,28.4,,28.7,,26.4,,25.7,,24.1,,23.7
73, Bosnia and Herzegovina,19.9,,11.4,,11.3,,10.4,,13.1,,13.1,,12.9,,15.3,,14.2,,14.2
100, Botswana,..,,..,,..,,36.5,,36.5,,36.2,,35.4,,..,,..,,..
84, Brazil,26.6,,26.9,,26.5,,26.3,,25.6,,24.9,,23.6,,23.2,,23.8,,24.4
56, Bulgaria,11.2,,11.2,,9.8,,10.8,,10.4,,10.5,,11.7,,12.3,,12.1,,11.3
182, Burkina Faso,35.7,,34.8,,33.8,,34.6,,34.6,,33.3,,30.6,,31.8,,29.5,,29.5
185, Burundi,36.3,,..,,..,,32.6,,31.5,,30.6,,29.7,,32.8,,29.6,,29.6
126, Cabo Verde,..,,..,,..,,19.4,,19.4,,19.9,,21.4,,..,,..,,..
144, Cambodia,28.6,,27.1,,25.8,,24.6,,24.6,,22.4,,19.2,,19.2,,19.9,,19.9
153, Cameroon,33.2,,32.7,,32.7,,32.4,,32.4,,32.4,,30.5,,34.2,,34.1,,33.4
16, Canada,8.4,,8.4,,8.4,,7.5,,8.6,,8.7,,7.9,,7.7,,8.5,,8.4
188, Central African Republic,41.3,,40,,40,,39.9,,43.1,,43.1,,41.8,,41.8,,41.3,,41.3
187, Chad,37.7,,38.8,,38.8,,36.8,,39.6,,39.6,,37.9,,37.9,,37.4,,37.4
43, Chile,18.1,,18.1,,18.1,,18.5,,18.2,,17.1,,15.6,,14.9,,19.8,,15.9
85, China,22.8,,22.1,,22.1,,..,,..,,..,,..,,14.2,,15.6,,15.7
83, Colombia,27.5,,30.1,,26.6,,25.7,,24.1,,23.7,,22.6,,22.9,,22.4,,21.6
156, Comoros,42.8,,..,,..,,..,,45.9,,44.8,,44.2,,44.2,,44.2,,44.2
149, Congo,31.3,,30.9,,30.9,,30.6,,26.2,,24.6,,22.6,,22.6,,24.9,,24.9
175, Congo (Democratic Republic of the),34.7,,39.3,,39.3,,36.8,,35.3,,31.7,,30.7,,30.2,,30.9,,30.2
62, Costa Rica,19.9,,19.7,,20.5,,19.1,,19,,18.2,,17.8,,17.3,,18.8,,17.5
43, Croatia,14.7,,14.6,,14.6,,11.1,,8.9,,8.9,,8.9,,8.8,,8.1,,7.9
33, Cyprus,11.5,,10,,11.3,,10.9,,10.6,,10.8,,13.1,,11.3,,9.6,,9.1
27, Czechia,5.9,,4.9,,5.3,,5.5,,5.4,,5.3,,5.4,,5.2,,4.5,,4.4
162, Côte d'Ivoire,35.3,,38.5,,38.5,,37.9,,37.6,,37.4,,35.6,,36.3,,35,,35.3
10, Denmark,6.4,,5.9,,6.2,,6.8,,7.1,,7,,7.7,,7.4,,6,,6
166, Djibouti,36.4,,35.1,,35.2,,33.7,,33.7,,33.7,,33.2,,35.2,,..,,..
88, Dominican Republic,24.6,,25.5,,26.8,,23.4,,23.4,,21.6,,22,,20.9,,21.4,,21.1
86, Ecuador,20.1,,25,,25,,22.4,,21.8,,20.2,,20,,19.4,,19.5,,18.4
116, Egypt,26.4,,23,,23,,22.8,,22.8,,28.2,,28.3,,28.3,,28.8,,28.7
124, El Salvador,27.2,,26.2,,26.2,,26.2,,26.2,,22,,22.3,,21.9,,21.6,,21.1
29, Estonia,9.6,,7.7,,8.8,,8.5,,8.9,,8.6,,9.4,,8.5,,7.1,,6.9
138, Eswatini (Kingdom of),35.7,,35.2,,35.2,,33.1,,33.1,,33.1,,29.4,,29.4,,29,,29
173, Ethiopia,33.7,,31.5,,31.5,,28,,28,,25.5,,23.7,,27.3,,27.3,,27.3
93, Fiji,..,,..,,..,,15.1,,15.1,,15.1,,..,,..,,..,,..
11, Finland,7.4,,5.5,,5.9,,5.5,,5.5,,5.7,,8.4,,5.5,,5.2,,5.3
26, France,9.2,,9.1,,9,,8.9,,8.6,,9.3,,12.1,,10.1,,9.1,,8.9
119, Gabon,20.4,,19.1,,19.1,,24,,24,,23.8,,22.3,,22.3,,22.5,,22.5
172, Gambia,38.8,,..,,..,,..,,..,,..,,36.4,,36.4,,36.4,,31.2
61, Georgia,16.6,,13.7,,14.8,,14,,13.2,,12.2,,11.5,,12,,11.6,,11.5
6, Germany,7.8,,6.8,,6.8,,7,,6.7,,7,,8.3,,7.8,,8.1,,7.9
138, Ghana,24.2,,31.9,,31.9,,31.2,,33.1,,32.5,,28.8,,28.8,,28.1,,27.8
32, Greece,9.9,,12.1,,11.4,,10.5,,12.1,,12.2,,12.9,,13.1,,11.9,,10.8
