"","country","brthyr","gdp","gdi","gii","chi","gini","he","pov","mort"
"59","GAMBIA",2008,924.5098746,0.8322,0.6564,39.6,44.6571428571429,5.46723223,31.3142857142857,31.3142857142857
"60","GAMBIA",2009,833.2813604,0.8266,0.6572,39.2,44.1285714285714,5.18213415,28.3571428571429,28.3571428571429
"61","GAMBIA",2010,860.6364339,0.821,0.658,38.8,43.6,5.08982468,25.4,25.4
"62","GAMBIA",2011,762.7631177,0.818,0.654,38.4,42.06,5.49951601,22.38,22.38
"63","GAMBIA",1987,265.4916532,0.7034,0.7682,48,51.14,18.74939583,125.14,125.14
"64","GAMBIA",1988,305.3136177,0.7116,0.7668,47.6,50.9,17.81782101,120.2,120.2
"65","GAMBIA",1989,310.2993373,0.7198,0.7654,47.2,50.66,16.88624619,115.26,115.26
"66","GAMBIA",1990,331.8177403,0.728,0.764,46.8,50.42,15.95467137,110.32,110.32
"67","GAMBIA",1991,695.4109885,0.7362,0.7626,46.4,50.18,15.02309655,105.38,105.38
"68","GAMBIA",1992,695.1553715,0.7444,0.7612,46,49.94,14.09152173,100.44,100.44
"69","GAMBIA",1993,711.726181,0.7526,0.7598,45.6,49.7,13.15994691,95.5,95.5
"70","GAMBIA",1994,682.2141569,0.7608,0.7584,45.2,49.46,12.22837209,90.56,90.56
"71","GAMBIA",1995,696.4495843,0.769,0.757,44.8,49.22,11.29679727,85.62,85.62
"72","GAMBIA",1997,669.401096,0.7854,0.7542,44,48.74,9.43364763,75.74,75.74
"73","GAMBIA",1998,678.6761783,0.7936,0.7528,43.6,48.5,8.50207281,70.8,70.8
"74","MALAWI",2007,332.2590946,0.8958,0.6318,32.2,42.7,7.66315603,71.8,71.8
"75","MALAWI",2008,387.6057212,0.9022,0.6222,32,43.6333333333333,8.59821701,71.5666666666667,71.5666666666667
"76","BRAZIL",2010,11286.07154,1.001,0.456,26.6,53.3,7.94515991,5.05,5.05
"77","BRAZIL",2011,13245.38737,0.992,0.452,26.9,52.9,7.78819466,4.7,4.7
"78","BRAZIL",2012,12370.22325,0.995,0.448,26.5,53.4,7.73637724,3.9,3.9
"79","INDIA",2011,1458.104066,0.786,0.585,27.5,35.7,3.24634194,22.5,22.5
"80","INDIA",2012,1443.882435,0.794,0.581,28.4,35.85,3.32935309,17.35,17.35
"81","NEPAL",2010,592.4012071,0.885,0.525,31.3,32.8,4.35166264,15,15
"82","NEPAL",2011,799.5833769,0.891,0.516,33.5,31.2285714285714,4.44234991,10.0142857142857,10.0142857142857
"83","PERU",2010,5082.353706,0.944,0.43,29.8,45.5,4.71548748,5.5,5.5
"84","PERU",2011,5869.323882,0.949,0.44,22.9,44.7,4.53341627,5.2,5.2
"85","PERU",2012,6528.971775,0.955,0.436,24,44.4,4.74023867,4.8,4.8
"86","SOUTH AFRICA",2009,6532.736968,0.9718,0.444,30,63.2,8.52350235,16.45,16.45
"87","SOUTH AFRICA",2010,8148.961202,0.975,0.439,30.6,63.4,8.66596985,16.2,16.2
"88","SOUTH AFRICA",2011,8810.930651,0.983,0.436,31.2,63.3,8.74146175,16.825,16.825
"89","SOUTH AFRICA",2012,8222.197279,0.976,0.429,31.8,63.2,8.77310753,17.45,17.45
"90","TANZANIA",2009,695.2168433,NA,NA,NA,39.05,5.0630641,54.95,54.95
"91","TANZANIA",2010,743.4036639,NA,NA,NA,38.425,5.22392178,52.275,52.275
"92","TANZANIA",2011,781.4338957,NA,NA,NA,37.8,5.05598497,49.6,49.6
"93","BANGLADESH",2014,1118.873808,0.877,0.57,29,32.3,2.65588379,15.9333333333333,15.9333333333333
"94","BELARUS",1996,1452.507105,1.0158,0.164,23.3,32.6,3.54721638,14.2,14.2
"95","PAKISTAN",2011,1164.978823,0.717,0.57,29.9,29.7,2.34442639,7.2,7.2
"96","INDIA",1999,441.9987604,0.7288,0.6672,44.3,33.1727272727273,3.80708314,43.4,43.4
"97","INDIA",2000,443.3141938,0.736,0.66,42.9,33.4181818181818,4.03493214,42.7,42.7
"98","INDIA",1995,373.7664808,0.7,0.696,49.9,32.1909090909091,2.89568714,46.2,46.2
"99","INDIA",1996,399.9500747,0.7072,0.6888,48.5,32.4363636363636,3.12353614,45.5,45.5
"100","TANZANIA",2007,552.8395016,NA,NA,NA,40.3,6.8842783,60.3,60.3
"101","TANZANIA",2008,687.3904455,NA,NA,NA,39.675,5.55704832,57.625,57.625
"102","INDIA",1994,346.1029514,0.6928,0.7032,51.3,31.9454545454545,2.66783813999999,46.9,46.9
"103","ZIMBABWE",1997,731.947626,0.8982,0.608,45.2,40.6333333333333,41.59915348,-7.76666666666667,-7.76666666666667
"104","ZIMBABWE",1998,544.9838381,0.8958,0.614,44,40.8166666666667,39.20505234,-5.68333333333334,-5.68333333333334
"105","ZIMBABWE",1999,580.0705709,0.8934,0.62,42.8,41,36.8109512,-3.6,-3.6
"106","ZIMBABWE",2000,563.0575041,0.891,0.626,41.6,41.1833333333333,34.41685006,-1.51666666666667,-1.51666666666667
"107","INDIA",2008,998.5223415,0.7736,0.6036,31.7,35.2,3.51468062,34.22,34.22
