"","A","Y","A_t","Y_t","RR","RR.CI1","RR.CI2","Nstudies"
"76","Stunting","Stunting","9-12 months","21-24",2.9,2.4,3.6,10
"77","Stunting","Underweight","9-12 months","12-15",3.9,3,5.1,14
"78","Stunting","Underweight","9-12 months","15-18",3.6,3,4.4,14
"79","Stunting","Underweight","9-12 months","18-21",3.5,3,4.2,15
"80","Stunting","Underweight","9-12 months","21-24",3.2,2.7,3.8,14
"81","Stunting","Wasting","9-12 months","12-15",1.8,1.4,2.4,14
"82","Stunting","Wasting","9-12 months","15-18",1.9,1.6,2.2,13
"83","Stunting","Wasting","9-12 months","18-21",2,1.8,2.3,12
"84","Stunting","Wasting","9-12 months","21-24",1.9,1.6,2.2,10
"85","Stunting","Stunting","Birth","12-15",1.7,1.4,1.9,10
"86","Stunting","Stunting","Birth","0-3",3.9,2.9,5.3,13
"87","Stunting","Stunting","Birth","15-18",1.6,1.4,1.9,11
"88","Stunting","Stunting","Birth","18-21",1.6,1.4,1.9,9
"89","Stunting","Stunting","Birth","21-24",1.6,1.4,1.8,9
"90","Stunting","Stunting","Birth","3-6",2.8,2.2,3.6,10
"91","Stunting","Stunting","Birth","6-9",2.1,1.8,2.5,12
"92","Stunting","Stunting","Birth","9-12",2,1.6,2.3,11
"93","Stunting","Underweight","Birth","12-15",1.8,1.5,2.2,11
"94","Stunting","Underweight","Birth","0-3",3.8,2.6,5.5,11
"95","Stunting","Underweight","Birth","15-18",1.8,1.5,2.3,11
"96","Stunting","Underweight","Birth","18-21",1.7,1.4,2.1,11
"97","Stunting","Underweight","Birth","21-24",1.6,1.3,2,11
"98","Stunting","Underweight","Birth","3-6",2.5,1.8,3.4,12
"99","Stunting","Underweight","Birth","6-9",2,1.5,2.6,10
"100","Stunting","Underweight","Birth","9-12",1.9,1.5,2.3,11
"101","Stunting","Wasting","Birth","12-15",1.5,1.1,2,7
"102","Stunting","Wasting","Birth","0-3",0.9,0.6,1.5,5
"103","Stunting","Wasting","Birth","15-18",2,1.2,3.2,7
"104","Stunting","Wasting","Birth","18-21",1.4,1,2,6
"105","Stunting","Wasting","Birth","21-24",1.6,1,2.3,6
"106","Stunting","Wasting","Birth","3-6",1.5,1,2.3,5
"107","Stunting","Wasting","Birth","6-9",1.1,0.8,1.5,3
"108","Stunting","Wasting","Birth","9-12",1.4,1,1.8,6
"109","Underweight","Stunting","12-15 months","15-18",2.7,2.3,3.3,14
"110","Underweight","Stunting","12-15 months","18-21",2.6,2.1,3.2,12
"111","Underweight","Stunting","12-15 months","21-24",2.3,1.9,2.8,9
"112","Underweight","Underweight","12-15 months","15-18",8.3,6.6,10.6,15
"113","Underweight","Underweight","12-15 months","18-21",7.2,5.4,9.5,14
"114","Underweight","Underweight","12-15 months","21-24",5.5,4.4,6.8,12
"115","Underweight","Wasting","12-15 months","15-18",7.1,5.5,9.2,11
"116","Underweight","Wasting","12-15 months","18-21",7,5,9.7,9
"117","Underweight","Wasting","12-15 months","21-24",6,4.2,8.6,8
"118","Underweight","Stunting","0-3 months","12-15",2.1,1.8,2.3,15
"119","Underweight","Stunting","0-3 months","15-18",1.8,1.6,2.1,15
"120","Underweight","Stunting","0-3 months","18-21",1.6,1.4,1.9,14
"121","Underweight","Stunting","0-3 months","21-24",1.6,1.4,1.8,13
"122","Underweight","Stunting","0-3 months","3-6",3.4,2.9,4,16
"123","Underweight","Stunting","0-3 months","6-9",2.8,2.4,3.2,14
"124","Underweight","Stunting","0-3 months","9-12",2.4,2.1,2.8,15
"125","Underweight","Underweight","0-3 months","12-15",2.7,2.4,3.2,16
"126","Underweight","Underweight","0-3 months","15-18",2.5,2.2,2.9,16
"127","Underweight","Underweight","0-3 months","18-21",2.4,2,2.8,15
"128","Underweight","Underweight","0-3 months","21-24",2.2,1.9,2.5,14
"129","Underweight","Underweight","0-3 months","3-6",6.9,5.7,8.3,16
"130","Underweight","Underweight","0-3 months","6-9",3.8,3.5,4.1,15
"131","Underweight","Underweight","0-3 months","9-12",3.2,2.8,3.7,16
"132","Underweight","Wasting","0-3 months","12-15",2.7,2.1,3.4,13
"133","Underweight","Wasting","0-3 months","15-18",2.9,2.4,3.6,14
"134","Underweight","Wasting","0-3 months","18-21",3,2.3,3.9,12
"135","Underweight","Wasting","0-3 months","21-24",2.9,2.2,3.8,10
"136","Underweight","Wasting","0-3 months","3-6",3.7,3,4.7,12
"137","Underweight","Wasting","0-3 months","6-9",2.8,2.4,3.3,11
"138","Underweight","Wasting","0-3 months","9-12",2.9,2.3,3.5,12
"139","Underweight","Stunting","15-18 months","18-21",2.6,2.1,3.3,12
"140","Underweight","Stunting","15-18 months","21-24",2.3,2,2.8,11
"141","Underweight","Underweight","15-18 months","18-21",9.5,7.1,12.6,13
"142","Underweight","Underweight","15-18 months","21-24",6.5,5.4,7.8,13
"143","Underweight","Wasting","15-18 months","18-21",8.5,5.7,12.9,7
"144","Underweight","Wasting","15-18 months","21-24",5.5,3.9,8,6
"145","Underweight","Stunting","18-21 months","21-24",2.5,2.1,3,10
"146","Underweight","Underweight","18-21 months","21-24",9.1,7.1,11.7,13
"147","Underweight","Wasting","18-21 months","21-24",6.6,4.2,10.4,5
"148","Underweight","Stunting","3-6 months","12-15",2.2,1.9,2.6,13
"149","Underweight","Stunting","3-6 months","15-18",2.1,1.8,2.4,12
"150","Underweight","Stunting","3-6 months","18-21",1.8,1.6,2.2,11
"151","Underweight","Stunting","3-6 months","21-24",1.7,1.5,1.9,10
"152","Underweight","Stunting","3-6 months","6-9",3.3,2.8,3.8,14
"153","Underweight","Stunting","3-6 months","9-12",2.6,2.3,3,14
"154","Underweight","Underweight","3-6 months","12-15",4.2,3.4,5.1,15
"155","Underweight","Underweight","3-6 months","15-18",3.7,3.1,4.5,14
"156","Underweight","Underweight","3-6 months","18-21",3.3,2.7,4.1,13
"157","Underweight","Underweight","3-6 months","21-24",2.9,2.5,3.5,12
"158","Underweight","Underweight","3-6 months","6-9",8.4,6.9,10.2,15
"159","Underweight","Underweight","3-6 months","9-12",5.2,4.3,6.2,15
"160","Underweight","Wasting","3-6 months","12-15",4.7,3.4,6.6,14
"161","Underweight","Wasting","3-6 months","15-18",4.4,3.3,5.9,13
"162","Underweight","Wasting","3-6 months","18-21",4.8,3.7,6.2,12
"163","Underweight","Wasting","3-6 months","21-24",4.1,3.2,5.4,10
"164","Underweight","Wasting","3-6 months","6-9",5.1,3.9,6.6,10
"165","Underweight","Wasting","3-6 months","9-12",5.1,3.8,7,15
"166","Underweight","Stunting","6-9 months","12-15",2.5,2.2,2.9,11
"167","Underweight","Stunting","6-9 months","15-18",2.2,1.9,2.6,12
"168","Underweight","Stunting","6-9 months","18-21",2.1,1.7,2.6,8
"169","Underweight","Stunting","6-9 months","21-24",1.8,1.6,2.1,8
"170","Underweight","Stunting","6-9 months","9-12",2.9,2.5,3.3,13
"171","Underweight","Underweight","6-9 months","12-15",5.3,4.4,6.5,13
"172","Underweight","Underweight","6-9 months","15-18",4.5,3.6,5.6,11
"173","Underweight","Underweight","6-9 months","18-21",4,3.1,5.2,11
"174","Underweight","Underweight","6-9 months","21-24",3.4,2.8,4.1,10
"175","Underweight","Underweight","6-9 months","9-12",8.1,6.6,9.8,13
"176","Underweight","Wasting","6-9 months","12-15",6.2,4.4,8.8,13
"177","Underweight","Wasting","6-9 months","15-18",5.4,4.2,6.8,13
"178","Underweight","Wasting","6-9 months","18-21",6.1,4.7,7.9,11
"179","Underweight","Wasting","6-9 months","21-24",5.6,4,7.8,9
"180","Underweight","Wasting","6-9 months","9-12",6.2,4.5,8.6,11
"181","Underweight","Stunting","9-12 months","12-15",3,2.4,3.6,14
"182","Underweight","Stunting","9-12 months","15-18",2.6,2.2,3.2,14
"183","Underweight","Stunting","9-12 months","18-21",2.4,2,2.9,12
"184","Underweight","Stunting","9-12 months","21-24",2,1.7,2.4,9
"185","Underweight","Underweight","9-12 months","12-15",9.3,7.3,12,14
"186","Underweight","Underweight","9-12 months","15-18",5.9,4.7,7.5,13
"187","Underweight","Underweight","9-12 months","18-21",5.2,3.9,6.8,12
"188","Underweight","Underweight","9-12 months","21-24",4.2,3.5,5.1,11
"189","Underweight","Wasting","9-12 months","12-15",7.2,5,10.3,11
"190","Underweight","Wasting","9-12 months","15-18",6.5,4.7,8.9,13
"191","Underweight","Wasting","9-12 months","18-21",5.9,4.5,7.8,10
"192","Underweight","Wasting","9-12 months","21-24",5.3,3.6,7.8,7
"193","Underweight","Stunting","Birth","12-15",1.8,1.5,2.2,7
"194","Underweight","Stunting","Birth","0-3",4.3,3.6,5.3,8
"195","Underweight","Stunting","Birth","15-18",1.6,1.3,1.9,9
"196","Underweight","Stunting","Birth","18-21",1.5,1.3,1.8,8
"197","Underweight","Stunting","Birth","21-24",1.4,1.3,1.6,8
"198","Underweight","Stunting","Birth","3-6",2.6,2.1,3.1,10
"199","Underweight","Stunting","Birth","6-9",2.1,1.8,2.5,9
"200","Underweight","Stunting","Birth","9-12",2.1,1.7,2.4,9
"201","Underweight","Underweight","Birth","12-15",1.9,1.5,2.5,10
"202","Underweight","Underweight","Birth","0-3",4.7,3.3,6.7,8
"203","Underweight","Underweight","Birth","15-18",1.8,1.5,2.3,10
"204","Underweight","Underweight","Birth","18-21",1.9,1.5,2.3,10
"205","Underweight","Underweight","Birth","21-24",1.8,1.4,2.3,10
"206","Underweight","Underweight","Birth","3-6",2.7,2.2,3.5,10
"207","Underweight","Underweight","Birth","6-9",2.3,1.8,2.8,9
"208","Underweight","Underweight","Birth","9-12",2,1.6,2.5,10
"209","Underweight","Wasting","Birth","12-15",1.8,1.4,2.2,7
"210","Underweight","Wasting","Birth","0-3",1.8,1.3,2.4,7
"211","Underweight","Wasting","Birth","15-18",1.7,1.3,2.1,7
"212","Underweight","Wasting","Birth","18-21",1.7,1.4,2,7
"213","Underweight","Wasting","Birth","21-24",1.8,1.4,2.2,7
"214","Underweight","Wasting","Birth","3-6",1.8,1.4,2.4,7
"215","Underweight","Wasting","Birth","6-9",1.6,1.2,2,5
"216","Underweight","Wasting","Birth","9-12",1.8,1.5,2.3,7
"217","Wasting","Stunting","12-15 months","15-18",1.5,1.3,1.8,12
"218","Wasting","Stunting","12-15 months","18-21",1.6,1.4,1.8,11
"219","Wasting","Stunting","12-15 months","21-24",1.4,1.2,1.6,7
"220","Wasting","Underweight","12-15 months","15-18",3.7,3,4.6,9
"221","Wasting","Underweight","12-15 months","18-21",3.5,2.8,4.4,9
"222","Wasting","Underweight","12-15 months","21-24",2.9,2.5,3.4,8
"223","Wasting","Wasting","12-15 months","15-18",9,6.9,11.8,13
"224","Wasting","Wasting","12-15 months","18-21",6.9,5.4,8.9,12
"225","Wasting","Wasting","12-15 months","21-24",6.3,4.9,8,10
"226","Wasting","Stunting","0-3 months","12-15",1,0.9,1.1,12
"227","Wasting","Stunting","0-3 months","15-18",1,0.9,1.2,12
"228","Wasting","Stunting","0-3 months","18-21",1,0.9,1.1,12
"229","Wasting","Stunting","0-3 months","21-24",0.9,0.8,1.1,12
"230","Wasting","Stunting","0-3 months","3-6",1,0.8,1.2,11
"231","Wasting","Stunting","0-3 months","6-9",1,0.9,1.1,10
"232","Wasting","Stunting","0-3 months","9-12",1,0.8,1.1,11
"233","Wasting","Underweight","0-3 months","12-15",1.5,1.3,1.6,13
"234","Wasting","Underweight","0-3 months","15-18",1.4,1.2,1.6,14
"235","Wasting","Underweight","0-3 months","18-21",1.4,1.2,1.7,13
"236","Wasting","Underweight","0-3 months","21-24",1.4,1.2,1.6,12
"237","Wasting","Underweight","0-3 months","3-6",2.3,1.8,2.8,13
"238","Wasting","Underweight","0-3 months","6-9",1.8,1.5,2.1,11
"239","Wasting","Underweight","0-3 months","9-12",1.6,1.4,1.8,13
"240","Wasting","Wasting","0-3 months","12-15",2.1,1.9,2.4,13
"241","Wasting","Wasting","0-3 months","15-18",1.9,1.6,2.3,11
"242","Wasting","Wasting","0-3 months","18-21",1.9,1.5,2.5,11
"243","Wasting","Wasting","0-3 months","21-24",2.1,1.7,2.7,10
"244","Wasting","Wasting","0-3 months","3-6",4.7,3.6,6.1,13
"245","Wasting","Wasting","0-3 months","6-9",2.8,2.5,3.3,10
"246","Wasting","Wasting","0-3 months","9-12",2.4,2.1,2.7,12
"247","Wasting","Stunting","15-18 months","18-21",1.5,1.3,1.8,11
"248","Wasting","Stunting","15-18 months","21-24",1.5,1.3,1.6,10
"249","Wasting","Underweight","15-18 months","18-21",3.7,2.9,4.8,8
"250","Wasting","Underweight","15-18 months","21-24",2.9,2.5,3.5,8
"251","Wasting","Wasting","15-18 months","18-21",10.1,7.6,13.2,12
"252","Wasting","Wasting","15-18 months","21-24",7,5,9.9,10
"253","Wasting","Stunting","18-21 months","21-24",1.5,1.3,1.7,10
"254","Wasting","Underweight","18-21 months","21-24",2.9,2.4,3.5,6
"255","Wasting","Wasting","18-21 months","21-24",10.8,7.4,15.6,9
"256","Wasting","Stunting","3-6 months","12-15",1.1,0.9,1.3,12
"257","Wasting","Stunting","3-6 months","15-18",1.2,1.1,1.3,11
"258","Wasting","Stunting","3-6 months","18-21",1.1,1,1.3,10
"259","Wasting","Stunting","3-6 months","21-24",1.1,1.1,1.2,9
"260","Wasting","Stunting","3-6 months","6-9",1.2,1,1.4,11
